SURNAME NAME FINAL_POINTS 
Surname10 Name9818 6.43
Surname10 Name1991 8.4
Surname1003 Name6433 8.8
Surname1003 Name3729 5.88
Surname1003 Name3370 6.95
Surname1005 Name2678 5.35
Surname1005 Name4341 7.21
Surname1009 Name5558 5.5
Surname1011 Name8378 5.5
Surname1014 Name1844 8.27
Surname1017 Name7599 7.59
Surname1019 Name4952 6.9
Surname102 Name4632 6.7
Surname102 Name8707 6
Surname1020 Name8246 8.16
Surname1023 Name596 8.19
Surname1025 Name9471 5.55
Surname1027 Name9050 5.6
Surname1028 Name3686 7.95
Surname103 Name4161 7.3
Surname1031 Name9197 5.51
Surname1035 Name541 7.49
Surname1035 Name6443 7.85
Surname1035 Name7283 7.4
Surname1038 Name6775 6.58
Surname1038 Name4917 5.75
Surname1038 Name9760 5.79
Surname1039 Name2403 6.86
Surname1040 Name9318 5.47
Surname1043 Name3240 5.35
Surname1044 Name784 6.03
Surname1045 Name7356 7.46
Surname1046 Name4712 7.17
Surname1046 Name7671 5.95
Surname1048 Name1058 6.03
Surname1050 Name3775 5.11
Surname1050 Name7864 6
Surname1051 Name6767 6.17
Surname1058 Name8674 6.8
Surname106 Name5352 6
Surname1060 Name2008 5.07
Surname1065 Name9343 5.04
Surname1066 Name828 6.73
Surname1067 Name3683 7.6
Surname1068 Name7898 8.15
Surname1069 Name4533 7.44
Surname1070 Name8520 6.87
Surname1071 Name4246 6.68
Surname1074 Name5334 6.97
Surname1074 Name3670 6.17
Surname1075 Name984 5.1
Surname1076 Name9680 7.03
Surname1076 Name5323 5.33
Surname1076 Name6217 6.67
Surname1077 Name2674 7.55
Surname1078 Name3699 5.3
Surname1078 Name6311 6.88
Surname1078 Name348 7.65
Surname108 Name5215 7.92
Surname1080 Name7968 6.9
Surname1081 Name1674 6.95
Surname1092 Name3236 5.3
Surname11 Name198 5.4
Surname110 Name43 5.64
Surname1101 Name4632 5.1
Surname1103 Name28 5.7
Surname1103 Name8563 5.17
Surname1104 Name768 5.09
Surname1105 Name9808 5.15
Surname1106 Name4119 6.1
Surname111 Name1779 5.8
Surname1116 Name8181 8.1
Surname1116 Name5400 5.18
Surname1117 Name2825 5.38
Surname1119 Name4893 5.23
Surname1122 Name1265 7.15
Surname1122 Name1692 7.43
Surname1128 Name1814 5.77
Surname1137 Name1970 5.55
Surname1137 Name1076 7.55
Surname1138 Name7548 7.88
Surname1139 Name7411 6.55
Surname114 Name664 6.18
Surname114 Name9397 5.97
Surname1141 Name333 7.1
Surname1143 Name4419 5.38
Surname1144 Name4129 7.43
Surname1145 Name6907 7.8
Surname1146 Name1546 6.43
Surname1150 Name1369 5.18
Surname1150 Name4985 6.23
Surname1156 Name8607 5.12
Surname1163 Name3549 5.7
Surname1167 Name8789 6.64
Surname1169 Name9035 5.55
Surname117 Name8418 5.1
Surname1171 Name466 8.01
Surname1175 Name7228 5.81
Surname1175 Name9827 5.55
Surname1182 Name7835 5.2
Surname1183 Name8135 8.1
Surname1183 Name8061 7.3
Surname1185 Name9306 5.98
Surname1186 Name5236 7.47
Surname119 Name4601 8
Surname119 Name4437 6.15
Surname1191 Name6331 6.11
Surname1191 Name1356 5.53
Surname1191 Name816 7.39
Surname1193 Name1539 7.68
Surname1195 Name7867 7.03
Surname1197 Name1931 5.7
Surname1198 Name5878 8.05
Surname12 Name6337 6.58
Surname1200 Name8752 7.07
Surname1207 Name9318 7.23
Surname1208 Name9462 6.45
Surname1209 Name2482 5
Surname1209 Name3455 6.8
Surname121 Name7077 7
Surname1213 Name4636 5.97
Surname1214 Name2102 7.77
Surname1214 Name6795 7.65
Surname1215 Name4435 5.75
Surname1215 Name1489 6.98
