SURNAME NAME FINAL_POINTS 
Surname10 Name6400 4.2
Surname100 Name4837 3.3
Surname1000 Name3411 2.5
Surname1000 Name507 2.35
Surname1002 Name3578 4.25
Surname1002 Name2808 4.66
Surname1003 Name8757 4.27
Surname1003 Name1538 4.3
Surname1003 Name777 4.05
Surname1007 Name2892 2.33
Surname1007 Name9301 3.68
Surname1008 Name972 2.41
Surname1009 Name6239 3.45
Surname101 Name8088 3.2
Surname1012 Name7645 3.73
Surname1014 Name1894 4.54
Surname1016 Name3541 2.73
Surname1018 Name8587 4.81
Surname1019 Name4644 4.43
Surname1020 Name9486 2.78
Surname1024 Name7338 2.05
Surname1024 Name211 3.84
Surname1025 Name6495 4.1
Surname1029 Name2655 4.9
Surname1030 Name8793 4.51
Surname1030 Name7830 4
Surname1030 Name894 2.2
Surname1032 Name7121 3.1
Surname1034 Name4191 2.57
Surname1036 Name2173 2.83
Surname1038 Name9713 3.73
Surname1040 Name9445 4.33
Surname1043 Name4343 4.47
Surname1044 Name2885 4.6
Surname1044 Name342 3.11
Surname1046 Name865 2.15
Surname1047 Name4173 4.43
Surname1048 Name4471 2.35
Surname105 Name7572 2.24
Surname1051 Name5623 3.43
Surname1052 Name873 2.66
Surname1053 Name3225 2.93
Surname1057 Name2413 3.99
Surname1057 Name3254 4.34
Surname1058 Name5176 2.16
Surname106 Name1762 3.48
Surname1060 Name4723 2.35
Surname1061 Name2001 4.19
Surname1062 Name6928 2.26
Surname1064 Name3272 3.13
Surname1066 Name2576 3.3
Surname1068 Name6680 2.83
Surname1069 Name5822 3.76
Surname107 Name8489 2.23
Surname1071 Name7414 4.15
Surname1074 Name1173 3.56
Surname1074 Name4844 3.64
Surname1076 Name6850 4.04
Surname1076 Name321 4.7
Surname1076 Name7232 3.5
Surname1079 Name8525 3.23
Surname1079 Name3315 3.83
Surname1079 Name8742 1.81
Surname108 Name9639 4.45
Surname1082 Name5658 4.33
Surname1084 Name6318 3
Surname1086 Name328 2.24
Surname1086 Name9721 3.43
Surname1088 Name596 3.07
Surname1091 Name8188 2.1
Surname1092 Name9276 2.32
Surname1093 Name9258 3
Surname1094 Name4372 3
Surname1094 Name8868 4.95
Surname1095 Name8434 4.3
Surname1097 Name6607 3
Surname1097 Name6301 2.65
Surname1098 Name2529 2.11
Surname1099 Name6524 2.3
Surname1099 Name1589 1.68
Surname11 Name8391 3.3
Surname1102 Name9204 4.3
Surname1102 Name6511 2.5
Surname1102 Name4848 2.77
Surname1102 Name2934 4.6
Surname1106 Name1225 3.45
Surname1109 Name3224 2.62
Surname111 Name8133 4.45
Surname1110 Name4086 2.98
Surname1111 Name3955 4
Surname1112 Name7806 3
Surname1114 Name1543 3.42
Surname1115 Name4922 3.33
Surname1118 Name8457 3.66
Surname112 Name2819 1.68
Surname1120 Name7085 4.35
Surname1122 Name9780 2.5
Surname1124 Name7978 2.6
Surname1126 Name3178 3.5
Surname1129 Name7170 3.75
Surname1130 Name7368 2.8
Surname1133 Name2235 3.3
Surname1136 Name6391 4
Surname1137 Name9107 3.41
Surname1141 Name8497 1.96
Surname1143 Name6176 3.54
Surname1147 Name1755 3.29
Surname115 Name9356 4.39
Surname1157 Name3819 3.83
Surname1160 Name4900 3.8
Surname1161 Name6368 4.8
Surname1161 Name8529 2.75
Surname1161 Name5547 3.5
Surname1162 Name5941 4.6
Surname1167 Name132 4.88
Surname117 Name3866 4.66
Surname1170 Name7537 3.84
